Error Code,Error Description
14811,This application can no longer be submitted since the license is no longer active
14812,"Record Type MW - SMSA Code cannot be null when Type of operation is ""D"""
14813,"Record Type MW - Type of operation should be ""D"" when there is a valid SMSA code"
14820,Record Type FR - Status Code must be null
14821,Record Type AD - Notification Code and Notification Date is required
14822,Date of Birth cannot be current year.
14823,Aviation ID is required.
14824,BRS Attachments can only be submitted with the radio service code BR
14825,Record Type AD- An Answer to the Emergency STA question is required
14826,Record Type HD- License name changes cannot be made on NT applications
14827,Record Type EN- Contact information changes cannot be made on NT applications
14828,Record Type AT- BRS Attachments can only be submitted with the radio service code BR
14900,An attachment is required with this filing because the 'Is the Applicant a foreign government or the representative of any foreign government' question in the Alien Ownership section is answered 'Yes'.
14901,An attachment is required with this filing because the 'Is the Applicant an alien or the representative of an alien?' question in the Alien Ownership section is answered 'Yes'.
14902,An attachment is required with this filing because the 'Is the Applicant a corporation organized under the laws of a foreign government' question in the Alien Ownership section is answered 'Yes'.
14903,Attachment is required because 'Is the Applicant a corporation of which more than one-fifth of the capital stock is owned of record or voted by aliens or their representatives' in the Alien Ownership section is answered 'Yes'.
14904,Attachment is required because 'Is the Applicant directly or indirectly controlled by any other corporation of which more than one-fourth of the capital stock' in Alien Ownership is answered 'Yes'.
14906,"Attachment is required because 'Has the Applicant had any FCC station authorization, license or construction permit revoked or denied' question in the Basic Qualification section is answered 'Yes'."
14907,Attachment is required because 'Has the Applicant ever been convicted of a felony' question in the Basic Qualification section is answered 'Yes'.
14908,Attachment is required because 'Has any court finally adjudged the Applicant guilty of unlawfully monopolizing or attempting unlawfully to monopolize radio communication' question in the Basic Qualification section is answered 'Yes'.
14909,"Attachment is required because 'Does the Applicant operate, control or have an attributable interest in a cable television system within the geographic service area' question in the Broadband Radio Service section is answered 'Yes'."
14911,Attachment is required because 'Does the Applicant comply with the programming requirements contained in Section 27.1203 of the Commissions Rules' question in the Broadband Radio Service section is answered No.
14912,An attachment is required with this filing because the 'Are attachments being filed with this application' question in the General Information section is answered 'Yes'.
14913,An attachment is required with this filing to provide a description of the system that is being implemented because the application is being filed in the LN or LW radio service.
14914,An attachment is required with this filing because the 'Would a Commission grant of authorization for this location be an action that may have a significant environmental effect' question is answered 'Yes'.
14915,An attachment is required with this filing because the 'Is the final receiver located outside of the United States' question is answered 'Yes' or has changed.
14916,Waiver Attachment required because Geostationary Satellite Arc question 20 is answered 'Yes'.
14917,An attachment is required with this filing because the 'CGSA alternate method' question is answered 'Yes'.
14918,An attachment is required with this filing because this application is requesting a Renewal or Renewal Modification for Special Temporary Authority (STA).
14919,An attachment is required with this filing because the 'Is a waiver/deferral of the FCC application fees being requested and the application fees are not being submitted with this application' question in the Fees and Waivers section is answered 'Yes'.
14920,Attachment is required because 'Does this filing involve a license or lease that may be used to provide interconnected mobile voice and-or data services that would create a geographic overlap' in Competition-Related Section is answered 'Yes'.
14921,Attachment is required because 'Does the Applicant hold direct or indirect interests (of 10 percent or more) in any entity that already has access to 10 MHz or more spectrum' question in Competition-Related Section is answered 'Yes'.
14922,"Attachment is required because 'Would, does this filing reduce the number of entities providing service (using spectrum in any of the three services above) in the affected market(s)' in Competition-Related Section is answered 'Yes'."
14925,You have added attachments to this application. The response to the attachment question in the General Information section must be Yes.
14930,The File Number does not exist in ULS.
14935,The Call Sign does not exist in ULS.
14936,Revenue information must be numeric. The format must be 99999.99
14937,Invalid date format. Must be MM/DD/YYYY
14938,Gross Revenues must be populated if any predecessors-in-interest were in existence for this period
14939,Year End Date must be populated if any predecessors-in-interest were in existence for this period
14940,Gross Revenue in existence question must be Yes or No.
15000,Attachment is required to provide citation(s) of the applicable declaratory ruling(s) because 'Has the Applicant received a ruling(s) under Section 310(b)(4) of the Communications Act' question in Alien Ownership is answered 'Yes'.
15001,Attachment is required to provide date-stamped copy of request for foreign ownership ruling because 'Has the Applicant received a ruling(s) under Section 310(b)(4) of the Communications Act' in the Alien Ownership section is answered 'No'.
15002,"An attachment is required with this filing because the Does the Applicant comply with Sections 27.50, 27.55, and 27.1221 of the Commissions Rules question in the Broadband Radio Service and Educational Broadband Service section is answered No."
15003,Valid FRN is required
15004,A statement type is required
15008,Location City must be provided
15009,Location State must be provided
15010,Location County must be provided
15012,"Coordinates for American Samoa locations must fall between 11-14 degrees S Latitude, and 172-174 degrees E Longitude. Latitude directions must be S when state is American Samoa."
15013,"Longitude Direction must be E when State Code is GU, MP, or UM"
15014,The call sign entered is in termination pending status for failure to meet the license-level buildout requirement and can not be included on this application.
15015,The call sign you entered does not have a tribal land buildout requirement. Please check the call sign and submission code.
15016,Our records indicate that you already filed a notification for this coverage/construction requirement. Please check the call sign and purpose code of submission code.
15020,There is no Revenue information on file for this FRN.
15030,Transferee Entity type is required
15031,"If Transferee Entity Type is Other, a description is required"
15032,Transferor Entity Type is required
15033,If Transferor Entity Type is Other then a description is required
15034,The Transferor Individual Name is required
15035,The Transferor Entity Name is required
15036,The Transferor Attention To is required
15037,The Transferor P.O. Box and/or the Street Address is required
15038,The Transferor City is required
15039,The Transferor City provided requires a Military State to be provided
15040,The Transferor State is required
15041,The Transferor State provided requires a Military State to be provided
15042,The Transferor Zip Code is required and must be 5 or 9 digits
15043,There is an invalid Transferor State and Zip Code combination
15044,The Transferor Telephone Number is required and must be 10 digits
15045,The Transferor FAX Number must be 10 digits
15046,The Transferor email is invalid
15047,Transferee FRN is required
15048,The entered Transferee FRN is invalid
15049,The Transferee Individual name is required
15050,The Transferee Entity name is required
15051,The Transferee Attention To is required
15052,The Transferee P.O. Box and/or the Street Address is required
15053,The Transferee City is required
15054,The Transferee City provided requires a Military State to be provided
15055,The Transferee State is required
15056,The Transferee Zip Code is required and must be 5 or 9 digits
15057,There is an invalid Transferee State and Zip code combination
15058,The Transferee Telephone Number is required and must be 10 digits
15059,The Transferee FAX Number must be 10 digits
15060,The provided Transferee Email Address is invalid
15061,The Transferee Contact Individual name (first and last name) and/or Attention To is required.
15062,The Transferee Contact Individual name (first and last name) and/or the Company Name is required.
15063,The Transferee Contact P.O.Box and/or the Street Address is required.
15064,The Transferee Contact City is required.
15065,The Transferee Contact State is required.
15066,The Transferee Contact State provided requires a Military City to be provided.
15067,The Transferee Contact Zip Code is required and must be 5 or 9 digits.
15068,There is an invalid Transferee Contact State and Zip Code combination.
15069,The Transferee Contact Telephone Number is required and must be 10 digits.
15070,The Transferee Contact FAX Number must be 10 digits.
15071,The provided Transferee Contact Email Address is invalid.
15072,The Transferor Contact Individual Name (first and last name) and/or Attention To is required.
15073,The Transferor Contact Individual Name (first and last name) and/or the Company Name is required.
15074,Either the Transferor Contact P.O. Box and/or the Street Address is required.
15075,The Transferor Contact City is required.
15076,The Transferor Contact City provided requires a Military State to be provided.
15077,The Transferor Contact State is required.
15078,The Transferor State provided requires a Military City to be provided.
15079,The Transferor Zip Code is required and must be 5 or 9 digits.
15080,There is an invalid Transferor State and Zip Code combination.
15081,The Transferor Telephone Number is required and must be 10 digits.
15082,The Transferor FAX Number must be 10 digits.
15083,The provided Transferor Contact Email Address is invalid.
15084,You cannot file this application via the Commissions post notification forbearance procedures. Either remove the lease IDs or answer No to the Forbearance Notification question.
15085,Transferor/Transferee FRN cannot be the same unless the Transfer of Control is a pro forma.
15086,This lease ID no longer belongs to the Lessee FRN. Please delete the lease ID from the application and resubmit.
15087,The First Name of the Transferee Certifier is required.
15088,The Last Name of the Transferee Certifier is required.
15089,The First Name of the Transferor Certifier is required.
15090,The Last Name of the Transferor Certifier is required.
15091,The date the Transfer of Control occurred is required.
15092,If the Already Occurred Date is more than 30 days prior to the receipt date of this application a Waiver request is required.
16000,The provided lead application file number must be for a valid 609 application.
16005,Reportable Eligibility Event is required.
16010,You must include an attachment explaining the change in Reportable Eligibility.
16015,You must include an attachment explaining the portion of spectrum and/or geographic area involved.
16020,Initial Grant Date is required.
16025,"You must make at least one selection: Bidding Credit, Closed Bidding, or Installment Payments."
16030,All selected Licenses must belong to the same radio service.
16035,At least one attachment is required for a Designated Entity Annual Report.
16040,At least one attachment is required for a Designated Entity Eligibility Event application.
16045,An answer to the Reportable Eligibility question is required.
16050,An answer to the Portion of Spectrum and/or Geographic Area Involved question is required.
16055,Initial Grant Date may not be a future date.
16060,"An answer to ""Is this the Lead Application?"" is required."
16061,Record Type LO - Area of Operation Code must be A when there is a Corresponding Fixed Location
16062,Record Type EM - Sequence ID required when there are multiple emissions
16063,Record Type EM - Emission number already exist
16100,The Transferee Contact City provided requires a Military City to be provided.
16101,This application cannot be submitted because this application contains a call sign where the call sign or a component of the call sign is in 'term pending' status
16102,Only government entities can select Channel 184.
16103,"Freqency must equal 978.0 MHz for station class UAT, UAT1, and UAT2."
16104,"Emission Type equal F1D for station class UAT, UAT1, and UAT2."
16105,Emission Type equal F1D for station class MOU1.
16106,"American Samoa is the only Southern Hemisphere location where the FCC can issue wireless licenses. Coordinates for American Samoa locations must fall between 11-14 degrees S Latitude, and 172-174 degrees E Longitude. Select American Samoa as the State."
16110,You must select a File Number.
16115,Consummation Date cannot be a future date.
16120,"If Consummation Date is before the Assignment or Transfer application was consented to by the FCC, a waiver is required."
16125,The new Buildout/Coverage/Construction date cannot be greater than the Expiration Date of the License(s)
16130,The new Buildout/Coverage/Construction date must be a future date and in the proper format (mm/dd/yyyy).
16135,The new Buildout/Coverage/Construction date must be greater than the current Buildout/Coverage/Construction deadline on the License(s).
16140,You must select an Application Purpose.
16145,You must select at least one License.
16150,Actual Date of Construction is Required.
16155,New Consummation Date must be a future date.
16160,New Consummation Date is required.
16165,New Consummation Date cannot be greater than 180 days from your Consummation Deadline.
16170,At least one attachment is required for this application.
16175,"If the Consummation Date is greater than 180 days from when your consented-to application was placed on Public Notice, a waiver is required."
16180,"If the number of mobiles in operation is greater than what you are authorized, this new number will not be reflected on your license without filing a modification application through the appropriate frequency coordinator."
16185,"If the number of mobiles in operation is less than the number of mobiles authorized, the Commission may supersede your license to decrease the mobile count."
16190,Actual Date of Construction is required if providing the Number of Mobile Units.
16195,"You must select at least one component on every selected call sign, or remove the call sign from the filing."
16200,"You must provide an Actual Construction Date for at least one component on every selected call sign, or remove the call sign from the filing."
16205,You must provide the application receipt date before providing buildout information for each call sign/component.
16210,"If you are submitting a waiver request with this application, the application should only include call signs involved with the same waiver request. Call signs not involved with the same waiver request should be filed under a separate Required Notification"
16215,The Number of Mobile Units in Operation must be greater than 0.
16220,Record Type HD - Emergency STA Y/N question cannot be answered if STA is not selected as request type
16225,"You may have, or have had, multiple browsers open. Therefore, you must close this browser to avoid losing previously entered information on this filing."
16230,"Since there is no fixed receiver associated with this path, if you wish to license fixed receivers you must modify or delete Path"
16231,You may not disaggregate a single frequency band that crosses over multiple channels. You must disaggregate each channel plan separately.
16232,Record Type LO - Location numbers must be entered in sequential order
16233,The Licensee Company Name and/or Attention To is required.
16234,Frequency number is not required for this radio service.
16235,Frequency assigned is not required for this radio service.
16236,Frequency upper band is not required for this radio service.
16237,Distance to SAB is not required for this radio service.
16238,Invalid unserved area.
16239,Record Type UA - Unserved area already exists.
16240,Record Type UA - Invalid action when application purpose is New.
16241,Record Type RA - Action performed on AM must be A if it was A on previous RA.
16242,Failure to calculate Distance to SAB.
16243,Can not add Radial Data that already exists.
16244,Upload attempt unsuccessful due to file errors. There can not be duplicate values in the Sequence ID column. Click the Help link on the Upload Coordinates page for File Format instructions for more information.
16245,Applicant must provide radial data for antenna
16246,"Since the ?Already Occurred? question is answered ?Yes?, and the filing is not an involuntary transaction or is not being filed under the pro forma, forbearance procedures, a Waiver request is required."
16247,"The CGSA entered is greater than the calculated SAB.  Amend the appropriate parameters or answer ""yes"" to the alternative study question and provide the information required by the rules."
16248,Your pack registration number does not match the original filing.
16249,The Licensee Contact Entity Name and Attention To is required.
16250,The Licensee Contact Individual Name (first and last name) and Attention To is required.
16251,Antenna type code is required.
16253,RA records must include the corresponding LO and AN data.
16254,Record Type AN - This antenna does not exist for this location
16255,Record Type HD - Regulatory Statuses must be answered Y or null.
16256," The CGSA that was entered is greater than the calculated SAB.  Amend the appropriate parameters or answer ""yes"" to the alternative study question and provide the information required by the rules."
16257,"Overall height AGL of antenna, without appurtenances, is required and must be between -152.0 and +640.1 (meters)."
16258,"Overall height AGL of antenna, with appurtenances, is required and must be between -152.0 and +640.1 (meters)."
16259,"Since the ?Already Occurred? question is answered ?Yes?, the Already Occurred date is required."
16260,Invalid Operator Class Code for New purpose application.
16300,"Duplicate emission is not allowed, unless digital modulation type and digital modulation rate combination is unique."
16301,You must enter Official Ship Number
16302,The order of EN records are incorrect. EN6 value of 'O' should be before EN6 value of 'L'.
603000,An answer to 'Is This the Lead Application?' is required.
605000,Please file MOD in order to modify 'Basic Qualifications: Felony Question'.
608000,Enter correct value for Form 608 electronic batch filing.
608001,An answer to the Classification of Lease question is required.
608002,An answer to the Lease Term question is required.
608003,An answer to the Existing Short-Term De Facto Leases question is required.
608004,An answer to 'Does this filing involve geographic-area licenses where only a portion of the licensed spectrum and/or the licensed geographic area will be leased?' question is required.
608005,An answer to the 'Microwave Links' question is required if the answer to the 'Does this filing involve geographic-area licenses where only a portion of the licensed spectrum and/or the licensed geographic area will be leased?' question is Yes.
608006,An answer to the 'Does this filing involve site-based licenses where only a portion of the licensed locations/paths and/or frequencies will be leased' question is required.
608007,At least one Call Sign must be selected for a new lease application.
608008,Commencement Date must be entered for lease of call sign
608009,Commencement Date must be greater than receipt date for lease of call sign
608010,Commencement Date must be at least 10 days greater than the receipt date of the application for lease of call sign
608011,Commencement Date must be at least 21 days greater than the receipt date of the application for lease of call sign
608012,Expiration Date cannot be more than 365 days from Commencement Date for Short-Term lease of call sign
608013,An answer to the Interest or Ownership in Excess of ten percent question is required.
608014,An answer to the Controlling Interest question is required.
608015,An answer to the Continuing Eligibility question is required.
608016,An answer to the Shared Office Space question is required.
608017,An answer to the Execution of Financing Documents question is required.
608018,Dates must be entered for both Modification of Security Agreement and Lien Acknowledgment when Execution of Financing Documents question is Yes.
608019,Dates must be entered for both Modification of Security Agreement and Lien Acknowledgment.
608020,There is no spectrum leasing application on file in ULS with this FRN.
608021,A lower frequency must be entered when an upper frequency is entered.
608022,Lessee Entity Type is required.
608023,"If Lessee Entity Type is Other, a description is required."
608024,Lessee FRN is required.
608025,The entered Lessee FRN is invalid.
608026,Transmitter Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608027,The Lessee Individual Name (First Name and Last Name) is required.
608028,The Lessee Entity Name is required.
608029,The Name of the Lessee Real Party in Interest is required.
608030,The FRN of the Lessee Real Party in Interest is required.
608031,The Lessee Real Party in Interest FRN is invalid.
608032,The Lessee Attention To is required.
608033,The Lessee P.O. Box or the Lessee Street Address is required.
608034,The Lessee P.O. Box or the Lessee Street Address is required.
608035,The Lessee City provided requires a Military State to be provided.
608036,The Lessee State is required.
608037,The Lessee State provided requires a Military City to be provided.
608038,The Lessee Zip Code is required and must be 5 or 9 digits.
608039,There is an invalid Lessee State and Zip Code combination.
608040,The Lessee Telephone Number is required and must be 10 digits.
608041,The provided Lessee FAX Number must be 10 digits.
608042,The provided Lessee Email Address is invalid.
608043,The Lessee Contact Individual Name first and last name or the Lessee Contact Attention To is required.
608044,The Lessee Contact Individual Name first and last name or the Lessee Contact Company Name is required.
608045,The Lessee Contact Individual Name first and last name or the Lessee Contact Attention To is required.
608046,The Lessee Contact P.O. Box or the Lessee Contact Street Address is required.
608047,The Lessee Contact P.O. Box or the Lessee Contact Street Address is required.
608048,The Lessee Contact City is required.
608049,The Lessee Contact City provided requires a Military State to be provided.
608050,The Lessee Contact State is required.
608051,The Lessee Contact State provided requires a Military City to be provided.
608052,The Lessee Contact Zip Code is required and must be 5 or 9 digits.
608053,There is an invalid Lessee Contact State and Zip Code combination.
608054,The Lessee Contact Telephone Number is required and must be 10 digits.
608055,The provided Lessee Contact FAX Number must be 10 digits.
608056,The provided Lessee Contact Email Address is invalid.
608057,An answer to the Part 90 Public Safety Services question is required.
608058,You have pressed the Lease Selected Locations button and there are no selected locations to lease.  You must select at least one location to Lease before pressing the Lease Selected Locations button.
608059,You have pressed the Lease Selected Paths button and there are no selected paths to lease.  You must select at least one path to Lease before pressing the Lease Selected Paths button.
608060,You have pressed the Lease Selected Frequencies button and there are no selected frequencies to lease.  You must select at least one frequency to lease before pressing the Lease Selected Frequencies button.
608061,Please select the type of Geographic Area lease.
608062,Please select the type of geographic area.
608063,Select a Defined Area to be Leased.
608064,You must complete the Population of the Geographic Area.
608065,Receiver Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608066,File Upload attempt unsuccessful due to file errors.  Check 608 Help for File Format instructions.
608067,Latitude degrees are required and must be between 0 and 72 if latitude direction equals North and between 11 and 14 if latitude direction equals South.
608068,Latitude degrees are required and must be between 0 and 72 if latitude direction equals North and between 11 and 14 if latitude direction equals South.
608069,Latitude minutes are required and must be between 0 and 59.
608070,Latitude seconds are required and must be between 0 and 59.9.
608071,Latitude direction is required and must be either North or South.
608072,Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608073,Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608074,Longitude minutes are required and must be between 0 and 59.
608075,Longitude seconds are required and must be between 0 and 59.9.
608076,Longitude direction is required and must be either E or W.
608077,Population of the Leased Area is required.
608078,Transmitter Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608079,The leased lower frequency must be less than upper frequency.
608080,The leased spectrum is not valid for this call sign.
608081,Transmitter Latitude degrees are required and must be between 0 and 72 if latitude direction equals North and between 11 and 14 if latitude direction equals South.
608082,Transmitter Latitude degrees are required and must be between 0 and 72 if latitude direction equals North and between 11 and 14 if latitude direction equals South.
608083,Transmitter Latitude minutes are required and must be between 0 and 59.
608084,Transmitter Latitude seconds are required and must be between 0 and 59.9.
608085,Transmitter Latitude direction is required and must be either N or S.
608086,Transmitter Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608087,Transmitter Longitude minutes are required and must be between 0 and 59.
608088,Transmitter Longitude seconds are required and must be between 0 and 59.9.
608089,Transmitter Longitude direction is required and must be either E or W.
608090,Receiver Latitude degrees are required and must be between 0 and 72 if latitude direction equals North and between 11 and 14 if latitude direction equals South.
608091,Receiver Latitude degrees are required and must be between 0 and 72 if latitude direction equals North and between 11 and 14 if latitude direction equals South.
608092,Receiver Latitude minutes are required and must be between 0 and 59.
608093,Receiver Latitude seconds are required and must be between 0 and 59.9.
608094,Receiver Latitude direction is required and must be either N or S.
608095,Receiver Longitude degrees are required and must be between 64 and 180 if longitude direction equals West and between 130 and 180 if longitude direction equals East.
608096,Receiver Longitude minutes are required and must be between 0 and 59.
608097,Receiver Longitude seconds are required and must be between 0 and 59.9.
608098,Receiver Longitude direction is required and must be either E or W.
608099,You have pressed the Delete Selected button and there are no links selected to delete.  You must select at least one link before pressing the Delete Selected button.
608100,was selected for a Site-Based partial lease and has not yet been partially leased. Return to Location Based Services on the summary screen to complete the partial leases for call sign or to Select Licenses to delete call sign from the application.
608101,was selected for Geographic-Based partial leasing and has not yet been leased. Return to Geographic Leases on the summary screen to partially lease call sign or to Select Licenses to delete call sign from application.
608102,"no longer belongs to the Licensee's FRN. Return to Select Licenses on the Summary Screen, delete this call sign, and then resubmit this application."
608103,The First Name of the Lessee Certifier is required.
608104,The Last Name of the Lessee Certifier is required.
608105,The First Name of the Licensee Certifier is required.
608106,The Last Name of the Licensee Certifier is required.
608107,Upper and Lower Frequencies must be entered to determine the frequency band.
608108,Upper and Lower Frequencies must be entered to determine the frequency band.
608109,An answer to 'Is This the Lead Application?' is required.
608110,Receiver Longitude degrees are required and must be between 64 and 180 if longitude direction equals W(est) and between 130 and 180 if longitude direction equals East
608111,Expiration Date must be entered for lease of call sign
608112,Expiration Date must be greater than receipt date for lease of call sign
608113,Expiration Date must be less than or equal to the expiration date of Call Sign
608114,An answer to the FCC Form 602 question is required.
608116,Commencement Date must be less than the Expiration Date of the lease for Call Sign
608119,'Is the licensee female?' must be answered 'Y' or 'N' if answer is present.
608120,'Is the licensee African-American?' must be answered 'Y' or 'N' if answer is present.
608121,'Is the licensee Native American?' must be answered 'Y' or 'N' if answer is present.
608122,'Is the licensee White?' must be answered 'Y' or 'N' if answer is present.
608123,'Is the licensee Native Hawaiian or Other Pacific Islander?' must be answered 'Y' or 'N' if answer is present.
608124,'Is the licensee Asian?' must be answered 'Y' or 'N' if answer is present.
608125,'What is the ethnicity of the licensee ?'must be answered 'H' or 'N' if answer is present.
608126,'Is the lessee Native American?' must be answered 'Y' or 'N' if answer is present.
608127,'Is the lessee White?' must be answered 'Y' or 'N' if answer is present.
608128,'Is the lessee Native Hawaiian or Other Pacific Islander?' must be answered 'Y' or 'N' if answer is present.
608129,'Is the lessee Asian?' must be answered 'Y' or 'N' if answer is present.
608130,'Is the lessee female?' must be answered 'Y' or 'N' if answer is present.
608131,'Is the lessee African-American?' must be answered 'Y' or 'N' if answer is present.
608132,'What is the ethnicity of the lessee?'must be answered 'H' or 'N' if answer is present.
608133,Placeholder for Form 608
608134,A maximum of 20 microwave links only can be selected per call sign for leasing.
608135,Frequency information must be entered for each Microwave Link entered for leasing band must be entered for each Microwave Link entered for leasing.
608136,At least one microwave link must be entered for leasing.
608137,The Lessee FRN can not be the same as the Licensee FRN.
608138,The Lessee City is required.
608139,At least one Lease Identifier must be selected.
608140, was selected and has not yet been updated.
608141, no longer belongs to the Lessee FRN used on this application.  Return to the Select Leases section on the summary screen and delete this lease identifier from the application.
608142,You need to answer Yes or No to the lessee name change question
608143,Revised Expiration Date must be entered for lease of Lease ID
608144,Revised Expiration Date must be greater than the current expiration date of the lease for Lease ID
608145,Revised Expiration Date cannot be more than 365 days from Commencement Date for Short-Term lease for Lease ID
608146,Revised Expiration Date must be less than or equal to the expiration date of the associated call sign for Lease ID
608147,no longer belongs to the Lessee FRN or is no longer associated with the Licensee FRN used on this application.  Return to the Select Leases section on the summary screen and delete the lease ID from this application.
608148,Cancellation Date must be entered for lease of Lease ID
608149,Either the Lease Never Commenced Indicator or the Cancellation Date must be entered for lease of Lease ID
608150,Cancellation Date must be less than or equal to receipt date for lease of Lease ID
608151,A Waiver is required if the Cancellation Date is greater than 10 days prior to the receipt date of the application for Lease ID
608152,You must enter a PO Box when selecting to clear your Street Adress.
608153,You must enter a Street Adress when selecting to clear your PO Box.
608154,You must enter a Lessee Contact PO Box when selecting to clear the Lessee Contact Street Adress.
608155,You must enter a Lessee Contact Street Adress when selecting to clear your Lessee Contact PO Box.
608156,Please specify the spectrum you wish to lease for this call sign.
608157,Please specify the spectrum you wish to lease for this area.
608158,This Lease ID is not Active.  Return to the Select Leases section on the summary screen and delete the lease ID from this application.
608159,This Lease ID is Expired.  You must submit a waiver request with this application in order to Extend the Term of this lease.
608160, no longer belongs to the Lessee FRN used on this application.  You must quit this application.
608161,Answer to proposal to operate in an area that requires coordination with Mexico is required.
608162,NEPA question must be answered.
608163,"This Lease Identifier is either no longer active, or a pending Extend Term of Lease is not on file. Return to the Select Leases section on the summary screen and delete the lease identifier from this application."
608164,"This Call Sign is either no longer active, or a pending renewal is not on file.  Return to the Select Licenses section on the summary screen and delete the call sign from this application."
608165,This application has already been sent back to the Lessee/Licensee.  Please return to License Manager to continue with application/license processing.
608166,"The terms of leases attached to licenses on this renewal are not automatically extended at grant. To extend lease terms, you must file an Extend the Term of a Lease Application."
608167,NN radio services require entry of a frequency band or frequency and emission combination that fall within the ranges of 3650 - 3675 MHz where the transmission method or protocol is restricted.
608168,NN radio services require entry of a frequency band or frequency and emission combination that fall within the ranges of 3650 - 3700 MHz where the transmission method or protocol is unrestricted.
608170,You need to answer Yes or No to the grandfathered satellite earth station question.
608175,You need to answer Restricted or Unrestricted to the transmission method/protocol question.
608180,You must enter or specify what transmission method or protocol you will employ.
608181,Applications for a developmental/STA license must provide an attachment.
608185,Antenna gain is required and must be greater than 0 but equal to or less than  70 (dB).
608186,Beamwidth is required and must be greater than 0 but equal to or less than 360.
608187,Valid entry for EIRP is required.
608188,FCC ID Number is required.
608189,You must enter or specify what transmission method or protocol you will employ.
608190,You must provide text for a transmission method or protocol of type Other.
608191,"If Beamwidth equals 360, then azimuth must equal 360. If Beamwidth does not equal 360, azimuth must be equal to or greater than 0 [zero] but less than or equal to 359.9."
608192,"If Azimuth equals 360, then Beamwidth must equal 360. If Azimuth does not equal 360, Beamwidth must be greater than 0[zero] but less than or equal to 359.9."
608193,You must modify your name in order for the system to save the response to this question.
608194,An attachment is required for the selected polarization.
608195,Your EIRP has exceeded the value allowed per Rule 90.377.
608196,Location is less than 150 km from grandfathered FSS Earth Station:
608197,Proposed location is not within 150 km of any Grandfathered FSS Earth Station. Please review the answer to this question and correct as necessary.
608198,Commencement date must be greater than original receipt date for call sign
608199,Commencement date must be at least 10 days greater than the original receipt date of the application for lease of call sign
608200,Commencement date must be at least 21 days greater than the original receipt date of the application for lease of call sign
608201,Expiration date must be greater than the original receipt date for lease of call sign.
608202,Cancellation date must be less than or equal to the original receipt date for lease of Lease ID
608203,A Waiver is required if the Cancellation Date is greater than 10 days prior to the original receipt date of the application for Lease ID
612000,An answer to the 'Are there at least six devices on each of the reserved channels?' is required.
612001,"If the answer to the 'Are there at least six devices on each of the reserved channels?' question is 'Yes', you must provide two different TV channels."
612002,An attachment is required with this filing because the 'Are there at least six devices on each of the reserved channels?' question is answered 'No'.
612003,Reserved TV Channel number is required.
612004,Reserved TV channel number must be a whole number between 7 and 51 (excluding 37).
612005,Reserved Channel user is required.
612006,"If a Reserved TV channel number is provided, you must have at least one set of user/number of devices data."
612007,"If Reserved channel User is not 'Self', you must provide a name."
612008,The Reserved number of devices data is required.
612009,The total number of devices on each channel must not exceed 15.
612010,Reserved number of devices must be a whole number between 1 and 15.
612011,An answer to the 'Are there at least six devices on each of the other available TV channels?' is required.
612012,"If the answer to the 'Are there at least six devices on each of the other available TV channels?' question is answered 'Yes', you must provide at least one TV channel and the total number of devices on each channel must be 6 or greater."
612013,An attachment is required with this filing because the 'Are there at least six devices on each of the other available channels?' question is answered 'No'.
612014,Other Available TV Channel number is required.
612015,Other Available TV Channel number must be a whole number between 14 and 51.
612016,"If the Other Available TV Channel number is provided, you must have at least one set of user/number of devices data."
612017,Other Available TV Channel user is required.
612018,"If Other Available TV channel User is not 'Self', you must provide a name."
612019,The Other Available TV Channel number of devices data is required.
612020,Other number of devices must be a whole number between 1 and 15.
612021,An answer to the Certification question is required.
612022,You can not continue with this application because you answered 'No' to the Certification question.
612023,Registrant Individual Name is required.
612024,Registrant Street Address or the Registrant P.O. Box is required.
612025,Registrant Street Address is required if the Registrant P.O. Box is blank.
612026,Registrant City is required.
612027,Registrant State is required.
612028,Registrant Zip Code is required.
612029,Registrant Zip Code is not valid for the state.
612030,Registrant Zip Code must have 5 or 9 digits.
612031,Registrant Phone number is required.
612032,Registrant Phone number must contain 10 digits.
612033,'Contact Name is required.
612034,Contact Street Address or the Contact P.O. Box is required.
612035,Contact Street Address is required if the Contact P.O. Box is blank.
612036,Contact City is required.
612037,Contact State is required.
612038,Contact Zip Code is required.
612039,Contact Zip Code is not valid for the state.
612040,Contact Zip Code must have 5 or 9 digits.
612041,Contact Phone number is required.
612042,Contact Phone number must contain 10 digits.
612043,Name of Venue is required.
612044,Type of Venue is required.
612045,"If Type of Venue is 'Other', you must provide a description."
612046,Venue Street Address is required.
612047,Venue City is required.
612048,Venue County is required.
612049,Venue County name is required and must be a valid county for state.
612050,Invalid Venue County for 'Discrete' coordinates.
612051,Invalid Venue County for 'Area Defined by 4 Points' coordinates.
